name,uplink_resolution,uplink_fps,window_seconds,stride_seconds,transport,extra_uplink_delay_ms,tcp_bandwidth_mbps,tcp_fixed_rtt_ms,downlink_resolution,downlink_fps,extra_downlink_delay_ms,max_duration_sec,chunk_size_frames
base,360,8.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,16
up_res_224,224,8.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,16
up_res_320,320,8.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,16
up_res_480,480,8.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,16
up_fps_4_0,360,4.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,8
up_fps_6_0,360,6.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,12
up_fps_12_0,360,12.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,24
win_1_0,360,8.0,1.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,8
win_3_0,360,8.0,3.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,24
win_4_0,360,8.0,4.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,32
tcp_bw_0_5,360,8.0,2.0,1.0,tcp,0.0,0.5,30.0,720,15.0,0.0,20.0,16
tcp_bw_1_0,360,8.0,2.0,1.0,tcp,0.0,1.0,30.0,720,15.0,0.0,20.0,16
tcp_bw_2_0,360,8.0,2.0,1.0,tcp,0.0,2.0,30.0,720,15.0,0.0,20.0,16
tcp_bw_4_0,360,8.0,2.0,1.0,tcp,0.0,4.0,30.0,720,15.0,0.0,20.0,16
tcp_bw_16_0,360,8.0,2.0,1.0,tcp,0.0,16.0,30.0,720,15.0,0.0,20.0,16
tcp_rtt_0,360,8.0,2.0,1.0,tcp,0.0,8.0,0.0,720,15.0,0.0,20.0,16
tcp_rtt_80,360,8.0,2.0,1.0,tcp,0.0,8.0,80.0,720,15.0,0.0,20.0,16
tcp_rtt_150,360,8.0,2.0,1.0,tcp,0.0,8.0,150.0,720,15.0,0.0,20.0,16
down_res_360,360,8.0,2.0,1.0,tcp,0.0,8.0,30.0,360,15.0,0.0,20.0,16
down_res_480,360,8.0,2.0,1.0,tcp,0.0,8.0,30.0,480,15.0,0.0,20.0,16
down_fps_10_0,360,8.0,2.0,1.0,tcp,0.0,8.0,30.0,720,10.0,0.0,20.0,16
down_fps_24_0,360,8.0,2.0,1.0,tcp,0.0,8.0,30.0,720,24.0,0.0,20.0,16
bw0_5_win1_0,360,8.0,1.0,1.0,tcp,0.0,0.5,30.0,720,15.0,0.0,20.0,8
bw0_5_win2_0,360,8.0,2.0,1.0,tcp,0.0,0.5,30.0,720,15.0,0.0,20.0,16
bw0_5_win3_0,360,8.0,3.0,1.0,tcp,0.0,0.5,30.0,720,15.0,0.0,20.0,24
bw0_5_win4_0,360,8.0,4.0,1.0,tcp,0.0,0.5,30.0,720,15.0,0.0,20.0,32
bw2_0_win1_0,360,8.0,1.0,1.0,tcp,0.0,2.0,30.0,720,15.0,0.0,20.0,8
bw2_0_win2_0,360,8.0,2.0,1.0,tcp,0.0,2.0,30.0,720,15.0,0.0,20.0,16
bw2_0_win3_0,360,8.0,3.0,1.0,tcp,0.0,2.0,30.0,720,15.0,0.0,20.0,24
bw2_0_win4_0,360,8.0,4.0,1.0,tcp,0.0,2.0,30.0,720,15.0,0.0,20.0,32
bw8_0_win1_0,360,8.0,1.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,8
bw8_0_win3_0,360,8.0,3.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,24
bw8_0_win4_0,360,8.0,4.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,32
bw16_0_win1_0,360,8.0,1.0,1.0,tcp,0.0,16.0,30.0,720,15.0,0.0,20.0,8
bw16_0_win2_0,360,8.0,2.0,1.0,tcp,0.0,16.0,30.0,720,15.0,0.0,20.0,16
bw16_0_win3_0,360,8.0,3.0,1.0,tcp,0.0,16.0,30.0,720,15.0,0.0,20.0,24
bw16_0_win4_0,360,8.0,4.0,1.0,tcp,0.0,16.0,30.0,720,15.0,0.0,20.0,32
fps4_0_win1_0,360,4.0,1.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,4
fps4_0_win2_0,360,4.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,8
fps4_0_win3_0,360,4.0,3.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,12
fps8_0_win1_0,360,8.0,1.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,8
fps8_0_win3_0,360,8.0,3.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,24
fps12_0_win1_0,360,12.0,1.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,12
fps12_0_win2_0,360,12.0,2.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,24
fps12_0_win3_0,360,12.0,3.0,1.0,tcp,0.0,8.0,30.0,720,15.0,0.0,20.0,36
