label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.7323423854973955
air drumming,3,1.0,0.7353104273786224
answering questions,3,0.6666666666666666,0.3163731265813112
applauding,3,0.0,0.3319188179444927
applying cream,3,0.6666666666666666,0.5078170820183697
archery,3,0.6666666666666666,0.6801628646009874
arm wrestling,3,1.0,0.999918392647511
arranging flowers,3,1.0,0.9741646981635758
assembling computer,3,1.0,0.7545966460360405
auctioning,3,0.0,0.4090352718243402
baby waking up,3,1.0,0.43337865654620683
baking cookies,3,0.6666666666666666,0.4664654292318004
balloon blowing,3,1.0,0.9768743493677999
bandaging,3,1.0,0.692352134935006
barbequing,3,1.0,0.5908352106935764
bartending,3,0.3333333333333333,0.6847890823673716
beatboxing,2,0.5,0.3458713376894593
