effective_clip_frames,bandwidth_mbps,video_top1_accuracy,chunk_top1_accuracy,prediction_switch_rate_avg,infer_avg_ms,tx_avg_ms,end_to_end_avg_ms,n_dropped_chunks
4,1.0,0.6291666666666667,0.6216606462018914,0.14920881779460804,10.756846960548438,248.04340007819695,315.6564628119825,63.833333333333336
4,4.0,0.6291666666666667,0.6216606462018914,0.14920881779460804,10.738185229094988,62.01085001954925,129.46308919195351,63.833333333333336
4,8.0,0.6291666666666667,0.6216606462018914,0.14920881779460804,10.786518110164103,31.005425009774626,98.4823034249267,63.833333333333336
8,1.0,0.6541666666666667,0.5967670810534309,0.1810495406212851,10.904892220468472,496.44429736001985,564.1829681317399,53.0
8,4.0,0.6541666666666667,0.5967670810534309,0.1810495406212851,10.902255868263792,124.11107434000496,191.72177484608167,53.0
8,8.0,0.6541666666666667,0.5967670810534309,0.1810495406212851,10.892022059508383,62.05553717000248,129.63511488175064,53.0
16,1.0,0.5708333333333333,0.5629433801441235,0.14266371879067927,11.29549336032373,997.2408760386238,1065.7894114901599,34.25
16,4.0,0.5708333333333333,0.5629433801441235,0.14266371879067927,11.308375678927684,249.31021900965595,317.4318552113867,34.25
16,8.0,0.5708333333333333,0.5629433801441235,0.14266371879067927,11.250224727101374,124.65510950482798,192.6452978266642,34.25
